lat,lng,alt,pres,rssi,mode,bt,log,wifi,gnss,timestamp
0,0,-17,1014.8,-43,wait,High,ON,NG,unlock,2022/09/21 08:19:44
0,0,-17,1014.8,-43,wait,High,ON,NG,unlock,2022/09/21 08:19:47
0,0,-17,1014.8,-43,wait,High,ON,NG,unlock,2022/09/21 08:19:50
0,0,-17,1014.9,-43,wait,High,ON,NG,unlock,2022/09/21 08:19:53
0,0,-17,1014.8,-43,wait,High,ON,NG,unlock,2022/09/21 08:19:56
0,0,-17,1014.9,-43,wait,High,ON,NG,unlock,2022/09/21 08:19:59
0,0,-17,1014.8,-43,wait,High,ON,NG,unlock,2022/09/21 08:20:02
0,0,-17,1014.8,-45,wait,High,ON,NG,unlock,2022/09/21 08:20:05
0,0,-17,1014.8,-45,wait,High,ON,NG,unlock,2022/09/21 08:20:08
0,0,-17,1014.8,-45,wait,High,ON,NG,unlock,2022/09/21 08:20:11
0,0,-17,1014.8,-43,wait,High,ON,NG,unlock,2022/09/21 08:20:14
0,0,-17,1014.8,-41,wait,High,ON,NG,unlock,2022/09/21 08:20:17
0,0,-17,1014.8,-42,wait,High,ON,NG,unlock,2022/09/21 08:20:20
0,0,-17,1014.8,-42,wait,High,ON,NG,unlock,2022/09/21 08:20:24
0,0,-17,1014.8,-43,wait,High,ON,NG,unlock,2022/09/21 08:20:27
0,0,-17,1014.8,-42,wait,High,ON,NG,unlock,2022/09/21 08:20:30
0,0,-17,1014.9,-42,wait,High,ON,NG,unlock,2022/09/21 08:20:33
0,0,-17,1014.8,-42,wait,High,ON,NG,unlock,2022/09/21 08:20:36
0,0,-17,1014.8,-40,wait,High,ON,NG,unlock,2022/09/21 08:20:39
0,0,-17,1014.8,-41,wait,High,ON,NG,unlock,2022/09/21 08:20:42
0,0,-17,1014.8,-40,wait,High,ON,NG,unlock,2022/09/21 08:20:45
0,0,-17,1014.8,-40,wait,High,ON,NG,unlock,2022/09/21 08:20:48
0,0,-17,1014.8,-40,wait,High,ON,NG,unlock,2022/09/21 08:20:51
0,0,-17,1014.8,-40,wait,High,ON,NG,unlock,2022/09/21 08:20:54
0,0,-17,1014.9,-40,wait,High,ON,NG,unlock,2022/09/21 08:20:57
33.217313,133.163707,3,1014.8,-42,wait,High,ON,NG,lock,2022/09/21 08:21:00
33.217281,133.163577,0,1014.8,-43,wait,High,ON,NG,lock,2022/09/21 08:21:03
33.217537,133.164117,10,1014.8,-43,wait,High,ON,NG,lock,2022/09/21 08:21:06
33.217569,133.164121,11,1014.8,-43,wait,High,ON,NG,lock,2022/09/21 08:21:09
33.217568,133.164074,11,1014.8,-42,wait,High,ON,NG,lock,2022/09/21 08:21:12
33.217557,133.164084,10,1014.8,-43,wait,High,ON,NG,lock,2022/09/21 08:21:15
33.217546,133.164092,11,1014.8,-45,wait,High,ON,NG,lock,2022/09/21 08:21:18
33.217528,133.164092,11,1014.8,-45,wait,High,ON,NG,lock,2022/09/21 08:21:21
3.217515,133.164071,10,1014.9,-45,wait,High,ON,NG,lock,2022/09/21 08:21:24
33.21751,133.164057,11,1014.8,-45,wait,High,ON,NG,lock,2022/09/21 08:21:27
33.217522,133.164025,11,1014.9,-46,wait,High,ON,NG,lock,2022/09/21 08:21:30
33.217528,133.163996,11,1014.8,-45,wait,High,ON,NG,lock,2022/09/21 08:21:33
33.217497,133.163987,11,1014.9,-46,wait,High,ON,NG,lock,2022/09/21 08:21:36
33.217471,133.164001,11,1014.9,-43,wait,High,ON,NG,lock,2022/09/21 08:21:39
33.21746,133.164014,12,1014.9,-43,wait,High,ON,NG,lock,2022/09/21 08:21:42
33.217462,133.164037,12,1014.9,-43,wait,High,ON,NG,lock,2022/09/21 08:21:45
33.217445,133.164041,12,1014.8,-45,wait,High,ON,NG,lock,2022/09/21 08:21:48
33.217438,133.164038,12,1014.9,-43,wait,High,ON,NG,lock,2022/09/21 08:21:51
33.217442,133.164036,12,1014.8,-45,wait,High,ON,NG,lock,2022/09/21 08:21:54
33.217455,133.164048,12,1014.8,-45,wait,High,ON,NG,lock,2022/09/21 08:21:57
33.217463,133.164061,12,1014.9,-45,wait,High,ON,NG,lock,2022/09/21 08:22:00
33.217472,133.164065,12,1014.8,-43,wait,High,ON,NG,lock,2022/09/21 08:22:03
33.217464,133.164073,12,1014.8,-45,wait,High,ON,NG,lock,2022/09/21 08:22:06
33.217472,133.164059,12,1014.8,-45,wait,High,ON,NG,lock,2022/09/21 08:22:09
33.217474,133.164067,12,1014.8,-43,wait,High,ON,NG,lock,2022/09/21 08:22:12
33.217485,133.164073,12,1014.8,-43,wait,High,ON,NG,lock,2022/09/21 08:22:16
33.217491,133.164074,12,1014.8,-42,wait,High,ON,NG,lock,2022/09/21 08:22:19
33.217498,133.164068,11,1014.8,-42,wait,High,ON,NG,lock,2022/09/21 08:22:22
33.217499,133.164065,11,1014.8,-43,wait,High,ON,NG,lock,2022/09/21 08:22:25
33.217471,133.164051,12,1014.8,-42,wait,High,ON,NG,lock,2022/09/21 08:22:28
33.217493,133.164064,12,1014.9,-42,wait,High,ON,NG,lock,2022/09/21 08:22:31
33.217466,133.164023,12,1014.8,-41,wait,High,ON,NG,lock,2022/09/21 08:22:34
33.217472,133.164035,12,1014.9,-43,wait,High,ON,NG,lock,2022/09/21 08:22:37
33.217466,133.164028,12,1014.8,-43,wait,High,ON,NG,lock,2022/09/21 08:22:40
33.21747,133.164049,13,1014.9,-45,wait,High,ON,NG,lock,2022/09/21 08:22:43
33.21747,133.164064,13,1014.9,-45,wait,High,ON,NG,lock,2022/09/21 08:22:46
33.217469,133.164061,13,1014.9,-45,wait,High,ON,NG,lock,2022/09/21 08:22:49
33.217478,133.164076,13,1014.9,-42,wait,High,ON,NG,lock,2022/09/21 08:22:52
33.217472,133.164086,13,1014.9,-42,wait,High,ON,NG,lock,2022/09/21 08:22:55
33.217471,133.164101,12,1014.9,-42,wait,High,ON,NG,lock,2022/09/21 08:22:58
33.217468,133.164092,12,1014.9,-42,wait,High,ON,NG,lock,2022/09/21 08:23:01
33.217466,133.164107,12,1014.9,-42,wait,High,ON,NG,lock,2022/09/21 08:23:04
33.217499,133.164167,11,1014.9,-42,wait,High,ON,NG,lock,2022/09/21 08:23:07
33.217517,133.164169,11,1014.9,-42,wait,High,ON,NG,lock,2022/09/21 08:23:10
33.217518,133.164148,11,1014.9,-43,wait,High,ON,NG,lock,2022/09/21 08:23:13
33.217519,133.164131,11,1014.9,-41,wait,High,ON,NG,lock,2022/09/21 08:23:16
33.217537,133.164148,11,1014.9,-45,wait,High,ON,NG,lock,2022/09/21 08:23:19
33.217536,133.164122,12,1014.9,-45,wait,High,ON,NG,lock,2022/09/21 08:23:22
33.217525,133.164163,12,1014.9,-41,wait,High,ON,NG,lock,2022/09/21 08:23:25
33.217524,133.164154,12,1014.9,-42,wait,High,ON,NG,lock,2022/09/21 08:23:28
33.217532,133.164143,11,1014.8,-42,wait,High,ON,NG,lock,2022/09/21 08:23:31
33.217525,133.164124,11,1014.9,-45,wait,High,ON,NG,lock,2022/09/21 08:23:34
33.21752,133.164153,11,1014.9,-43,wait,High,ON,NG,lock,2022/09/21 08:23:37
33.217543,133.16411,11,1014.8,-49,wait,High,ON,NG,lock,2022/09/21 08:23:40
33.217522,133.164068,10,1014.9,-47,wait,High,ON,NG,lock,2022/09/21 08:23:43
33.217513,133.164076,10,1014.9,-46,wait,High,ON,NG,lock,2022/09/21 08:23:46
33.217472,133.164106,9,1014.9,-45,wait,High,ON,NG,lock,2022/09/21 08:23:49
33.217476,133.164136,9,1014.9,-42,wait,High,ON,NG,lock,2022/09/21 08:23:52
33.217478,133.164124,10,1014.9,-42,wait,High,ON,NG,lock,2022/09/21 08:23:55
33.217498,133.164152,10,1014.9,-42,wait,High,ON,NG,lock,2022/09/21 08:23:58
33.217499,133.164108,9,1014.9,-45,wait,High,ON,NG,lock,2022/09/21 08:24:01
33.217423,133.164144,9,1014.9,-41,wait,High,ON,NG,lock,2022/09/21 08:24:04
33.217382,133.164165,9,1014.7,-45,wait,High,ON,NG,lock,2022/09/21 08:24:07
33.217371,133.164192,10,1014.8,-43,wait,High,ON,NG,lock,2022/09/21 08:24:10
33.217507,133.164152,9,1014.9,-41,wait,High,ON,NG,lock,2022/09/21 08:24:13
33.217549,133.164166,9,1014.8,-41,wait,High,ON,NG,lock,2022/09/21 08:24:16
33.21756,133.164037,10,1014.8,-42,wait,High,ON,NG,lock,2022/09/21 08:24:20
33.217613,133.164099,10,1014.8,-49,wait,High,ON,NG,lock,2022/09/21 08:24:23
33.217647,133.164066,10,1014.7,-53,wait,High,ON,NG,lock,2022/09/21 08:24:26
